ITEM,Consumo
12/09/2003,15704.3819517732
13/09/2003,14220.5877338926
14/09/2003,12978.6375042229
15/09/2003,15511.1656166211
16/09/2003,15348.9100070681
17/09/2003,15615.4070201574
18/09/2003,15863.7302511196
19/09/2003,16013.6198920769
20/09/2003,14379.7408839150
21/09/2003,12910.8301628242
22/09/2003,15783.7535998087
23/09/2003,16091.5542072498
24/09/2003,15983.5562598980
25/09/2003,15899.7884950909
26/09/2003,15849.2372689466
27/09/2003,14361.1115758103
28/09/2003,13027.8764458692
29/09/2003,15858.9522217158
30/09/2003,16084.6035199484
01/10/2003,16228.4423855474
02/10/2003,16007.7162829050
03/10/2003,15855.2843170608
04/10/2003,14510.3035548799
05/10/2003,13194.5344447285
06/10/2003,15739.8796774140
07/10/2003,15996.9614943610
08/10/2003,16140.2470543325
09/10/2003,16188.4556921327
10/10/2003,16061.3077847093
11/10/2003,14598.4617327279
12/10/2003,13111.5148520939
13/10/2003,15652.9885361440
14/10/2003,16290.3612364254
15/10/2003,15812.2585854582
16/10/2003,16069.0314884510
17/10/2003,15637.6073014559
18/10/2003,14164.8079130567
19/10/2003,12567.7993666305
20/10/2003,15849.1623781995
21/10/2003,16066.7584861231
22/10/2003,15980.2188501279
23/10/2003,15951.1193890726
24/10/2003,15897.9232024447
25/10/2003,14491.9401316095
26/10/2003,13201.6340489707
27/10/2003,14461.4473992853
28/10/2003,15575.7849853549
29/10/2003,15978.4566674275
30/10/2003,15953.6694067390
31/10/2003,15729.8363541309
01/11/2003,14475.9681708516
02/11/2003,13038.9095392914
03/11/2003,15585.7203828848
04/11/2003,15819.7107739618
05/11/2003,15653.3014792929
06/11/2003,15972.2924636674
07/11/2003,16229.6629446969
08/11/2003,14622.7324463733
09/11/2003,13082.0664532757
10/11/2003,15536.1464405612
11/11/2003,16029.3548696859
12/11/2003,16261.1048843638
13/11/2003,16096.2398389821
14/11/2003,15960.6162034922
15/11/2003,13957.8669851364
16/11/2003,13186.4286688042
17/11/2003,15631.6828088349
18/11/2003,15913.1839111997
19/11/2003,15933.2624274217
20/11/2003,15875.4501039135
21/11/2003,15902.4858815869
22/11/2003,14583.0755611359
23/11/2003,13109.6002494902
24/11/2003,15559.4285069767
25/11/2003,15970.6609281645
26/11/2003,16097.2997144700
27/11/2003,16098.3604345837
28/11/2003,16034.1312292737
29/11/2003,14533.1866217292
30/11/2003,13256.9650758978
01/12/2003,15795.4228479899
02/12/2003,16004.1204587606
03/12/2003,16133.1749196121
04/12/2003,16224.8939877456
05/12/2003,16324.9312505369
06/12/2003,14908.5549814250
07/12/2003,13538.2015213587
08/12/2003,14698.4024805534
09/12/2003,16209.3628062072
10/12/2003,16259.7763420157
11/12/2003,16351.1600158823
12/12/2003,16006.2055352080
13/12/2003,14372.3648674057
14/12/2003,12875.1718487245
15/12/2003,15384.6295585644
16/12/2003,15814.1438559301
17/12/2003,15966.9945839376
18/12/2003,15845.9375564615
19/12/2003,15616.8158114921
20/12/2003,14409.2134246237
21/12/2003,13169.6983244807
22/12/2003,15423.5194862254
23/12/2003,15704.2153230661
24/12/2003,14855.1897664072
25/12/2003,12965.8280125969
26/12/2003,14603.4363308327
